Date,Time,Burrow,Parent,Direction,Comment
15-06-2015 ,1:37:08,512,One,Exit,
15-06-2015 ,1:37:08,512,Two,Entrance,First PIT day -- assuming no neglect
19-06-2015 ,4:12:32,512,Two,Exit,
20-06-2015 ,23:38:50,512,One,Entrance,
23-06-2015 ,23:15:48,512,Two,Entrance,
23-06-2015 ,23:38:24,512,One,Exit,
27-06-2015 ,22:55:46,512,One,Entrance,
27-06-2015,23:14:49,512,Two,Exit,
1-07-2015,23:47:50,512,Two,Entrance,
2-07-2015,0:06:42,512,One,Exit,
6-07-2015,0:29:57,512,Two,Exit,
7-07-2015,23:40:59,512,One,Entrance,
9-07-2015,2:44:09,512,Two,Entrance,
9-07-2015,5:01:03,512,Two,Exit,
10-07-2015,22:55:27,512,Two,Entrance,
10-07-2015,23:21:57,512,One,Exit,
14-07-2015,1:15:37,512,One,Entrance,
14-07-2015,1:24:52,512,Two,Exit,
16-07-2015,22:58:14,512,Two,Entrance,
16-07-2015,23:25:10,512,One,Exit,
19-07-2015,23:52:18,512,One,Entrance,
20-07-2015,0:06:51,512,Two,Exit,
17-06-2015,1:20:01,517,One,Exit,First Exit
17-06-2015,12:28:49,517,Two,Entrance,
22-06-2015,1:03:17,517,One,Entrance,
22-06-2015,3:21:08,517,Two,Exit,
27-06-2015,23:25:50,517,One,Exit,
27-06-2015 ,23:58:46,517,Two,Entrance,
02-07-2015,3:57:56,517,Two,Exit,
04-07-2015,23:02:26,517,One,Entrance,
08-07-2015,2:08:46,517,Two,Entrance,
08-07-2015,2:37:58,517,One,Exit,
12-07-2015,1:31:57,517,One,Entrance,
12-07-2015,2:12:26,517,Two,Exit,Know One didn't leave after 7/12 Bleeding because warm on 7/14 
15-07-2015 ,23:37:27,517,Two,Entrance,
16-07-2015 ,0:03:42,517,One,Exit,
18-07-2015 ,3:09:03,517,Two,Exit,Known exit-- egg was cold that day
18-07-2015 ,23:02:31,517,Two,Entrance,
19-07-2015 ,0:08:16,517,One,Entrance,
19-07-2015 ,2:39:05,517,Two,Exit,
20-06-2015 ,22:58:21,518,One,Entrance,Known entrance -- cold earlier in morning
24-06-2015 ,2:54:47,518,Two,Entrance,
24-06-2015 ,3:10:13,518,One,Exit,
29-06-2015 ,1:13:35,518,Two,Exit,
29-06-2015 ,22:21:54,518,One,Entrance,
02-07-2015,0:31:21,518,Two,Entrance,
02-07-2015,0:41:47,518,One,Exit,
05-07-2015,2:07:01,518,One,Entrance,
05-07-2015,2:14:04,518,Two,Exit,
08-07-2015,4:03:19,518,One,Exit,Last reading of many
09-07-2015,0:36:19,518,Two,Entrance,
11-07-2015,22:59:32,518,One,Entrance,
11-07-2015,23:13:57,518,Two,Exit,
14-07-2015 ,23:51:22,518,Two,Entrance,
15-07-2015 ,0:04:21,518,One,Exit,
19-07-2015 ,4:01:02,518,Two,Exit,Know exit -- cold egg later that day
20-07-2015 ,23:36:41,518,One,Entrance,Known Entrance -- warm later that day
23-07-2015 ,5:24:58,518,One,Exit,Known exit -- cold egg later that day
25-07-2015 ,0:03:52,518,One,Entrance,
26-07-2015 ,22:10:17,518,Two,Entrance,
26-07-2015 ,22:31:41,518,One,Exit,
28-07-2015 ,22:01:50,518,One,Entrance,
28-07-2015 ,22:43:34,518,Two,Exit,
29-07-2015 ,0:49:23,518,Two,Entrance,
29-07-2015 ,2:07:29,518,One,Exit,Next (final) day of incubation unknown
16-06-2015 ,22:49:20,623,One,Entrance,
16-06-2015 ,22:59:40,623,Two,Exit,
21-06-2015 ,0:06:06,623,Two,Entrance,
21-06-2015 ,0:19:38,623,One,Exit,
25-06-2015 ,0:00:33,623,Two,Exit,
27-06-2015 ,1:10:36,623,One,Entrance,
29-06-2015 ,23:28:28,623,Two,Entrance,
29-06-2015 ,23:43:53,623,One,Exit,
06-07-2015,23:06:44,623,One,Entrance,"Known entrance -- the gap seems long, but the data, lattice, and manual checks confirm swaps"
06-07-2015,23:25:29,623,Two,Exit,
11-07-2015,2:20:00,623,Two,Entrance,
11-07-2015,2:32:37,623,One,Exit,
14-07-2015 ,23:55:16,623,One,Entrance,
15-07-2015 ,0:05:13,623,Two,Exit,
17-07-2015 ,23:13:12,623,Two,Entrance,
17-07-2015 ,23:33:19,623,One,Exit,
